Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Gender_encoded,Item Purchased_encoded,Category_encoded,Location_encoded,Size_encoded,Color_encoded,Season_encoded,Subscription Status_encoded,Payment Method_encoded,Shipping Type_encoded,Discount Applied_encoded,Promo Code Used_encoded,Preferred Payment Method_encoded,Frequency of Purchases_encoded,Is_High_Value,Is_Frequent_Buyer,Has_Subscription,Used_Discount,Used_Promo,Customer_Engagement_Score,Age_Group,Age_Group_encoded,Spending_Per_Purchase,Cluster
51,0.32432299363362105,Male,Blouse,Clothing,-1.3412668776980856,Maryland,M,Red,Spring,-0.06974801959749115,Yes,Cash,Store Pickup,Yes,Yes,0.9448393030956567,Debit Card,Bi-Weekly,1,2,1,19,1,18,1,1,1,5,1,1,3,1,0,1,1,1,1,3,Young Adult,0,-0.6896543460239376,1
52,0.9819737372363471,Male,Skirt,Clothing,-0.03227546243909867,Vermont,XL,Gray,Winter,1.326644569880007,Yes,PayPal,2-Day Shipping,Yes,Yes,-1.270418263763348,Credit Card,Quarterly,1,19,1,44,3,7,3,1,4,0,1,1,2,5,0,0,1,1,1,3,Young Adult,0,0.11935385572678622,0
53,-0.1360325268882868,Male,T-shirt,Clothing,-1.6790711138939531,Alaska,M,Green,Summer,-1.6057798680227393,Yes,Credit Card,Free Shipping,Yes,Yes,0.04489091655918603,Credit Card,Weekly,1,24,1,1,1,8,2,1,2,2,1,1,2,6,0,1,1,1,1,3,,1,-1.606934357725221,1
54,-0.9909784935718302,Male,Skirt,Clothing,-1.5101689957960194,Mississippi,S,Peach,Winter,0.209530498298008,Yes,Debit Card,Next Day Air,Yes,Yes,0.6679321072382811,Credit Card,Weekly,1,19,1,23,2,15,3,1,3,3,1,1,2,6,0,1,1,1,1,3,,1,-0.905413948950547,1
55,0.192792844913076,Male,Coat,Outerwear,1.4456180709178221,New Mexico,M,Brown,Summer,0.6284482751412579,Yes,Bank Transfer,Next Day Air,Yes,Yes,0.6679321072382811,Debit Card,Bi-Weekly,1,4,3,30,1,3,2,1,0,3,1,1,3,1,1,1,1,1,1,3,Young Adult,0,0.8667127784424267,0
56,-0.267562675608832,Male,Jacket,Outerwear,-1.3412668776980856,South Carolina,M,Lavender,Winter,-1.0472228322317403,Yes,Venmo,2-Day Shipping,Yes,Yes,1.6371072927390955,Credit Card,Annually,1,10,3,39,1,10,3,1,5,0,1,1,2,0,0,1,1,1,1,3,,1,-0.5086129341005865,0
57,-0.20179760124855942,Male,Backpack,Accessories,0.5588819509036695,Mississippi,XL,Brown,Summer,1.326644569880007,Yes,PayPal,Store Pickup,Yes,Yes,1.429426895846064,Credit Card,Weekly,1,0,0,23,3,3,2,1,4,5,1,1,2,6,1,1,1,1,1,3,,1,0.23004682785856584,1
58,-1.517099088454011,Male,Coat,Outerwear,0.1788521851833184,West Virginia,M,White,Summer,0.9077267930367576,Yes,PayPal,Store Pickup,Yes,Yes,-0.578150274119909,Debit Card,Fortnightly,1,4,3,47,1,23,2,1,4,5,1,1,3,3,1,0,1,1,1,3,,1,0.42397132014293737,0
59,1.6396244808390725,Male,Hoodie,Clothing,-0.243403110061516,Missouri,M,Charcoal,Summer,0.6284482751412579,Yes,Credit Card,Free Shipping,Yes,Yes,0.2525713134522177,Venmo,Monthly,1,9,1,24,1,4,2,1,2,2,1,1,5,4,0,1,1,1,1,3,Young Adult,0,-0.19432275627538648,1
60,1.2450340346774371,Male,Belt,Accessories,0.8122351280505702,Louisiana,L,Yellow,Spring,1.1870053109322565,Yes,Debit Card,Standard,Yes,Yes,-1.4780986606563795,Debit Card,Weekly,1,1,0,17,0,24,1,1,3,4,1,1,3,6,1,0,1,1,1,3,Young Adult,0,-1.69888601431231,1
61,0.3900880679938937,Male,Sweater,Clothing,-0.9612371119777346,Idaho,L,Brown,Summer,0.349169757245758,Yes,Credit Card,Express,Yes,Yes,-0.578150274119909,Cash,Weekly,1,23,1,11,0,3,2,1,2,1,1,1,1,6,0,0,1,1,1,3,Young Adult,0,-2.278624479303235,1
62,0.7189134397952566,Male,Scarf,Accessories,0.3477543032812523,Texas,M,Orange,Winter,1.326644569880007,Yes,Bank Transfer,Store Pickup,Yes,Yes,-0.3012430782625334,Credit Card,Every 3 Months,1,15,0,42,1,14,3,1,0,5,1,1,2,2,1,0,1,1,1,3,Young Adult,0,0.4976756472287351,0
63,-0.9252134192115578,Male,Sneakers,Footwear,-1.6368455843694698,Mississippi,S,Magenta,Spring,0.06989123935025808,Yes,Credit Card,Free Shipping,Yes,Yes,0.39102491138090556,Credit Card,Fortnightly,1,20,2,23,2,11,1,1,2,2,1,1,2,3,0,1,1,1,1,3,,1,-1.1767191018488172,1
64,-0.72791819613074,Male,Sunglasses,Accessories,0.8122351280505702,Arizona,L,Lavender,Winter,-1.4661406090749896,Yes,Credit Card,2-Day Shipping,Yes,Yes,1.2217464989530324,Credit Card,Weekly,1,22,0,2,0,10,3,1,2,0,1,1,2,6,1,1,1,1,1,3,,1,0.3655840702048253,1
65,1.3765641833979823,Male,Boots,Footwear,0.9811372461485041,Alabama,S,Green,Fall,1.4662838288277562,Yes,PayPal,Standard,Yes,Yes,-0.5089234751555651,Debit Card,Fortnightly,1,3,2,0,2,8,0,1,4,4,1,1,3,3,1,0,1,1,1,3,Young Adult,0,1.997931476075572,1
66,1.3765641833979823,Male,Backpack,Accessories,-1.003462641502218,New Jersey,M,Purple,Spring,1.4662838288277562,Yes,Credit Card,2-Day Shipping,Yes,Yes,1.2909732979173765,Venmo,Every 3 Months,1,0,0,29,1,17,1,1,2,0,1,1,5,2,0,1,1,1,1,3,Young Adult,0,-0.438007131036587,0
67,-0.8594483448512852,Male,Blouse,Clothing,1.4456180709178221,Pennsylvania,S,Magenta,Winter,1.326644569880007,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,-1.5473254596207235,Venmo,Every 3 Months,1,2,1,37,2,11,3,1,0,0,1,1,5,2,1,0,1,1,1,3,,1,-2.64124031781672,0
68,0.061262696192530795,Male,Coat,Outerwear,-1.130139230075668,Connecticut,L,Gray,Winter,0.9077267930367576,Yes,PayPal,Store Pickup,Yes,Yes,1.6371072927390955,Debit Card,Monthly,1,4,3,6,0,7,3,1,4,5,1,1,3,4,0,1,1,1,1,3,Young Adult,0,-0.4285526164169913,1
69,0.8504435885158017,Male,Handbag,Accessories,-0.5812073462573836,Utah,L,Silver,Summer,0.209530498298008,Yes,Credit Card,Next Day Air,Yes,Yes,-0.3012430782625334,Cash,Every 3 Months,1,7,0,43,0,19,2,1,2,3,1,1,1,2,0,0,1,1,1,3,Young Adult,0,-0.8317732936544017,0
70,0.2585579192733485,Male,Belt,Accessories,0.4322053623302191,Tennessee,S,Cyan,Summer,0.9077267930367576,Yes,Credit Card,Express,Yes,Yes,-1.4088718616920357,Cash,Weekly,1,1,0,41,2,5,2,1,2,1,1,1,1,6,1,0,1,1,1,3,Young Adult,0,-1.0570680030208544,0
71,-1.451334014093738,Male,Belt,Accessories,-1.2990413481736023,Alabama,M,Magenta,Fall,0.6284482751412579,Yes,Credit Card,Express,Yes,Yes,0.4602517103452494,Debit Card,Every 3 Months,1,1,0,0,1,11,0,1,2,1,1,1,3,2,0,1,1,1,1,3,,1,-0.8896009769894178,1
72,-0.5306229730499223,Male,Dress,Clothing,-0.4967562872084167,Virginia,L,Gold,Summer,-1.18686209117949,Yes,Debit Card,Express,Yes,Yes,0.5987053082739372,Bank Transfer,Annually,1,5,1,45,0,6,2,1,3,1,1,1,0,0,0,1,1,1,1,3,,1,-0.31072411196579186,0
73,-1.7143943115348286,Male,Dress,Clothing,-1.4257179367470525,Georgia,M,Olive,Winter,-1.18686209117949,Yes,Debit Card,Store Pickup,Yes,Yes,-0.3012430782625334,Bank Transfer,Every 3 Months,1,5,1,9,1,13,3,1,3,5,1,1,0,2,0,0,1,1,1,3,,1,-2.0403632399117986,1
74,0.2585579192733485,Male,Pants,Clothing,1.065588305197471,Hawaii,M,Teal,Spring,-1.4661406090749896,Yes,Debit Card,Free Shipping,Yes,Yes,1.2217464989530324,Bank Transfer,Bi-Weekly,1,13,1,10,1,20,1,1,3,2,1,1,0,1,1,1,1,1,1,3,Young Adult,0,0.4796174116622284,1
75,0.32432299363362105,Male,Gloves,Accessories,-0.07450099196358217,Indiana,L,Violet,Spring,1.0473660519845072,Yes,PayPal,Express,Yes,Yes,-1.5473254596207235,Cash,Monthly,1,6,0,13,0,22,1,1,4,1,1,1,1,4,0,0,1,1,1,3,Young Adult,0,0.13611826501768917,1
76,1.3107991090377098,Male,Scarf,Accessories,1.065588305197471,Utah,M,Blue,Summer,-1.4661406090749896,Yes,Debit Card,Free Shipping,Yes,Yes,-0.3012430782625334,Credit Card,Annually,1,15,0,43,1,2,2,1,3,2,1,1,2,0,1,0,1,1,1,3,Young Adult,0,1.5249771015475229,0
77,0.3900880679938937,Male,Hat,Accessories,-0.707883934830834,Delaware,S,Teal,Summer,0.6284482751412579,Yes,Bank Transfer,Free Shipping,Yes,Yes,0.4602517103452494,Venmo,Monthly,1,8,0,7,2,20,2,1,0,2,1,1,5,4,0,1,1,1,1,3,Young Adult,0,-0.4847684339732552,1
78,-1.451334014093738,Male,Dress,Clothing,-0.2856286395859995,Delaware,L,Gold,Summer,-0.628305055388491,Yes,Debit Card,Next Day Air,Yes,Yes,0.737158906202625,Debit Card,Fortnightly,1,5,1,7,0,6,2,1,3,3,1,1,3,3,0,1,1,1,1,3,,1,-0.16442286227595307,1
79,0.3900880679938937,Male,Skirt,Clothing,1.318941482344372,Nebraska,M,Maroon,Spring,1.326644569880007,Yes,Venmo,Free Shipping,Yes,Yes,1.7063340917034395,Venmo,Fortnightly,1,19,1,26,1,12,1,1,5,2,1,1,5,3,1,1,1,1,1,3,Young Adult,0,0.48735353347087856,0
80,-0.39909282432937715,Male,Jacket,Outerwear,1.530069129966789,Iowa,M,Olive,Winter,-1.6057798680227393,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1.2217464989530324,Bank Transfer,Every 3 Months,1,10,3,14,1,13,3,1,0,0,1,1,0,2,1,1,1,1,1,3,,1,0.6886785376674671,1
81,-1.6486292371745561,Male,Sandals,Footwear,0.5166564213791861,New York,XL,Blue,Summer,-0.628305055388491,Yes,Credit Card,Store Pickup,Yes,Yes,-0.09356268136950167,Credit Card,Every 3 Months,1,14,2,31,3,2,2,1,2,5,1,1,2,2,1,0,1,1,1,3,,1,0.5699858233548709,0
82,1.5080943321185274,Male,Shoes,Footwear,1.530069129966789,Virginia,L,Maroon,Summer,-1.6057798680227393,Yes,PayPal,Express,Yes,Yes,0.737158906202625,Credit Card,Every 3 Months,1,17,2,45,0,12,2,1,4,1,1,1,2,2,1,1,1,1,1,3,Young Adult,0,0.8807882367603734,0
83,-1.6486292371745561,Male,Pants,Clothing,-1.3412668776980856,Georgia,S,Olive,Spring,0.349169757245758,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,-0.3012430782625334,Credit Card,Every 3 Months,1,13,1,9,2,13,1,1,0,0,1,1,2,2,0,0,1,1,1,3,,1,-1.919504245286059,1
