Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Gender_encoded,Item Purchased_encoded,Category_encoded,Location_encoded,Size_encoded,Color_encoded,Season_encoded,Subscription Status_encoded,Payment Method_encoded,Shipping Type_encoded,Discount Applied_encoded,Promo Code Used_encoded,Preferred Payment Method_encoded,Frequency of Purchases_encoded,Is_High_Value,Is_Frequent_Buyer,Has_Subscription,Used_Discount,Used_Promo,Customer_Engagement_Score,Age_Group,Age_Group_encoded,Spending_Per_Purchase
42,1.5080943321185272,Male,Scarf,Accessories,-0.8767860529287679,Alaska,M,Orange,Spring,1.0473660519845074,Yes,Cash,Standard,Yes,Yes,1.0140661020600008,Venmo,Annually,1,15,0,1,1,14,1,1,1,4,1,1,5,0,0,1,1,1,1,3,Young Adult,0,-0.43533131908232053
43,-1.5828641628142837,Male,Coat,Outerwear,1.6989712480647226,Tennessee,M,Beige,Spring,0.48880901619350764,Yes,Bank Transfer,Free Shipping,Yes,Yes,-0.7166038720485968,PayPal,Annually,1,4,3,41,1,0,1,1,0,2,1,1,4,0,1,0,1,1,1,3,,1,3.019915543557773
44,-1.254038791012921,Male,Scarf,Accessories,0.3899798328057356,Ohio,L,Lavender,Fall,-0.06974801959749076,Yes,PayPal,Store Pickup,Yes,Yes,-0.4396966761912211,PayPal,Fortnightly,1,15,0,34,0,10,0,1,4,5,1,1,4,3,1,0,1,1,1,3,,1,0.6960155619901846
45,-0.3333277499691048,Male,Hat,Accessories,-0.2856286395859996,Kentucky,S,Silver,Summer,1.1870053109322567,Yes,Bank Transfer,Free Shipping,Yes,Yes,1.3602000968817203,PayPal,Weekly,1,8,0,16,2,19,2,1,0,2,1,1,4,6,0,1,1,1,1,3,,1,-0.12101882376980246
46,0.3900880679938935,Male,Socks,Clothing,-1.63684558436947,Tennessee,XL,Indigo,Fall,-1.1868620911794894,Yes,Venmo,2-Day Shipping,Yes,Yes,-0.024335882405157744,PayPal,Annually,1,21,1,41,3,9,0,1,5,0,1,1,4,0,0,0,1,1,1,3,Young Adult,0,-1.6776732431285255
47,0.8504435885158015,Male,Shirt,Clothing,-0.7078839348308341,California,L,White,Summer,-1.1868620911794894,Yes,Venmo,Store Pickup,Yes,Yes,1.3602000968817203,Cash,Quarterly,1,16,1,4,0,23,2,1,5,5,1,1,1,5,0,1,1,1,1,3,Young Adult,0,-0.2999253901252209
48,0.7189134397952563,Male,Jewelry,Accessories,-0.24340311006151613,Montana,M,Charcoal,Winter,1.0473660519845074,Yes,Debit Card,Free Shipping,Yes,Yes,0.7371589062026251,Cash,Weekly,1,12,0,25,1,4,3,1,3,2,1,1,1,6,0,1,1,1,1,3,Young Adult,0,-0.1401156274146432
49,-0.13603252688828707,Male,Shirt,Clothing,-0.2011775805370327,Nevada,M,Orange,Summer,-1.4661406090749887,Yes,Debit Card,Store Pickup,Yes,Yes,0.875612504131313,Cash,Monthly,1,16,1,27,1,14,2,1,3,5,1,1,1,4,0,1,1,1,1,3,,1,-0.1072596712241518
50,1.5738594064787998,Male,Hoodie,Clothing,-1.256815818649119,New Jersey,S,Indigo,Spring,1.1870053109322567,Yes,Bank Transfer,Next Day Air,Yes,Yes,0.5987053082739373,Debit Card,Bi-Weekly,1,9,1,29,2,9,1,1,0,3,1,1,3,1,0,1,1,1,1,3,Young Adult,0,-0.7861460221246506
51,0.32432299363362094,Male,Blouse,Clothing,-1.3412668776980858,Maryland,M,Red,Spring,-0.06974801959749076,Yes,Cash,Store Pickup,Yes,Yes,0.9448393030956568,Debit Card,Bi-Weekly,1,2,1,19,1,18,1,1,1,5,1,1,3,1,0,1,1,1,1,3,Young Adult,0,-0.6896543460239376
52,0.9819737372363467,Male,Skirt,Clothing,-0.03227546243909888,Vermont,XL,Gray,Winter,1.3266445698800071,Yes,PayPal,2-Day Shipping,Yes,Yes,-1.2704182637633479,Credit Card,Quarterly,1,19,1,44,3,7,3,1,4,0,1,1,2,5,0,0,1,1,1,3,Young Adult,0,0.1193538557267871
53,-0.13603252688828707,Male,T-shirt,Clothing,-1.6790711138939534,Alaska,M,Green,Summer,-1.6057798680227386,Yes,Credit Card,Free Shipping,Yes,Yes,0.04489091655918616,Credit Card,Weekly,1,24,1,1,1,8,2,1,2,2,1,1,2,6,0,1,1,1,1,3,,1,-1.606934357725221
54,-0.9909784935718305,Male,Skirt,Clothing,-1.5101689957960196,Mississippi,S,Peach,Winter,0.20953049829800843,Yes,Debit Card,Next Day Air,Yes,Yes,0.6679321072382812,Credit Card,Weekly,1,19,1,23,2,15,3,1,3,3,1,1,2,6,0,1,1,1,1,3,,1,-0.905413948950547
55,0.1927928449130758,Male,Coat,Outerwear,1.445618070917822,New Mexico,M,Brown,Summer,0.6284482751412582,Yes,Bank Transfer,Next Day Air,Yes,Yes,0.6679321072382812,Debit Card,Bi-Weekly,1,4,3,30,1,3,2,1,0,3,1,1,3,1,1,1,1,1,1,3,Young Adult,0,0.8667127784424264
56,-0.26756267560883223,Male,Jacket,Outerwear,-1.3412668776980858,South Carolina,M,Lavender,Winter,-1.0472228322317396,Yes,Venmo,2-Day Shipping,Yes,Yes,1.6371072927390957,Credit Card,Annually,1,10,3,39,1,10,3,1,5,0,1,1,2,0,0,1,1,1,1,3,,1,-0.5086129341005866
57,-0.20179760124855964,Male,Backpack,Accessories,0.5588819509036694,Mississippi,XL,Brown,Summer,1.3266445698800071,Yes,PayPal,Store Pickup,Yes,Yes,1.429426895846064,Credit Card,Weekly,1,0,0,23,3,3,2,1,4,5,1,1,2,6,1,1,1,1,1,3,,1,0.2300468278585658
58,-1.5170990884540112,Male,Coat,Outerwear,0.17885218518331839,West Virginia,M,White,Summer,0.9077267930367581,Yes,PayPal,Store Pickup,Yes,Yes,-0.5781502741199089,Debit Card,Fortnightly,1,4,3,47,1,23,2,1,4,5,1,1,3,3,1,0,1,1,1,3,,1,0.4239713201429372
59,1.6396244808390725,Male,Hoodie,Clothing,-0.24340311006151613,Missouri,M,Charcoal,Summer,0.6284482751412582,Yes,Credit Card,Free Shipping,Yes,Yes,0.25257131345221784,Venmo,Monthly,1,9,1,24,1,4,2,1,2,2,1,1,5,4,0,1,1,1,1,3,Young Adult,0,-0.19432275627538653
60,1.245034034677437,Male,Belt,Accessories,0.8122351280505701,Louisiana,L,Yellow,Spring,1.1870053109322567,Yes,Debit Card,Standard,Yes,Yes,-1.4780986606563795,Debit Card,Weekly,1,1,0,17,0,24,1,1,3,4,1,1,3,6,1,0,1,1,1,3,Young Adult,0,-1.6988860143123097
61,0.3900880679938935,Male,Sweater,Clothing,-0.9612371119777348,Idaho,L,Brown,Summer,0.3491697572457584,Yes,Credit Card,Express,Yes,Yes,-0.5781502741199089,Cash,Weekly,1,23,1,11,0,3,2,1,2,1,1,1,1,6,0,0,1,1,1,3,Young Adult,0,-2.2786244793032346
62,0.7189134397952563,Male,Scarf,Accessories,0.3477543032812522,Texas,M,Orange,Winter,1.3266445698800071,Yes,Bank Transfer,Store Pickup,Yes,Yes,-0.3012430782625333,Credit Card,Every 3 Months,1,15,0,42,1,14,3,1,0,5,1,1,2,2,1,0,1,1,1,3,Young Adult,0,0.49767564722873486
63,-0.925213419211558,Male,Sneakers,Footwear,-1.63684558436947,Mississippi,S,Magenta,Spring,0.06989123935025852,Yes,Credit Card,Free Shipping,Yes,Yes,0.39102491138090567,Credit Card,Fortnightly,1,20,2,23,2,11,1,1,2,2,1,1,2,3,0,1,1,1,1,3,,1,-1.1767191018488172
64,-0.7279181961307403,Male,Sunglasses,Accessories,0.8122351280505701,Arizona,L,Lavender,Winter,-1.4661406090749887,Yes,Credit Card,2-Day Shipping,Yes,Yes,1.2217464989530324,Credit Card,Weekly,1,22,0,2,0,10,3,1,2,0,1,1,2,6,1,1,1,1,1,3,,1,0.36558407020482525
65,1.376564183397982,Male,Boots,Footwear,0.981137246148504,Alabama,S,Green,Fall,1.4662838288277564,Yes,PayPal,Standard,Yes,Yes,-0.508923475155565,Debit Card,Fortnightly,1,3,2,0,2,8,0,1,4,4,1,1,3,3,1,0,1,1,1,3,Young Adult,0,1.9979314760755713
66,1.376564183397982,Male,Backpack,Accessories,-1.0034626415022183,New Jersey,M,Purple,Spring,1.4662838288277564,Yes,Credit Card,2-Day Shipping,Yes,Yes,1.2909732979173763,Venmo,Every 3 Months,1,0,0,29,1,17,1,1,2,0,1,1,5,2,0,1,1,1,1,3,Young Adult,0,-0.4380071310365871
67,-0.8594483448512854,Male,Blouse,Clothing,1.445618070917822,Pennsylvania,S,Magenta,Winter,1.3266445698800071,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,-1.5473254596207235,Venmo,Every 3 Months,1,2,1,37,2,11,3,1,0,0,1,1,5,2,1,0,1,1,1,3,,1,-2.6412403178167194
68,0.061262696192530657,Male,Coat,Outerwear,-1.1301392300756685,Connecticut,L,Gray,Winter,0.9077267930367581,Yes,PayPal,Store Pickup,Yes,Yes,1.6371072927390957,Debit Card,Monthly,1,4,3,6,0,7,3,1,4,5,1,1,3,4,0,1,1,1,1,3,Young Adult,0,-0.4285526164169915
69,0.8504435885158015,Male,Handbag,Accessories,-0.5812073462573837,Utah,L,Silver,Summer,0.20953049829800843,Yes,Credit Card,Next Day Air,Yes,Yes,-0.3012430782625333,Cash,Every 3 Months,1,7,0,43,0,19,2,1,2,3,1,1,1,2,0,0,1,1,1,3,Young Adult,0,-0.8317732936544017
70,0.25855791927334837,Male,Belt,Accessories,0.43220536233021906,Tennessee,S,Cyan,Summer,0.9077267930367581,Yes,Credit Card,Express,Yes,Yes,-1.4088718616920357,Cash,Weekly,1,1,0,41,2,5,2,1,2,1,1,1,1,6,1,0,1,1,1,3,Young Adult,0,-1.0570680030208541
71,-1.4513340140937385,Male,Belt,Accessories,-1.2990413481736023,Alabama,M,Magenta,Fall,0.6284482751412582,Yes,Credit Card,Express,Yes,Yes,0.46025171034524953,Debit Card,Every 3 Months,1,1,0,0,1,11,0,1,2,1,1,1,3,2,0,1,1,1,1,3,,1,-0.8896009769894178
72,-0.5306229730499226,Male,Dress,Clothing,-0.49675628720841686,Virginia,L,Gold,Summer,-1.1868620911794894,Yes,Debit Card,Express,Yes,Yes,0.5987053082739373,Bank Transfer,Annually,1,5,1,45,0,6,2,1,3,1,1,1,0,0,0,1,1,1,1,3,,1,-0.31072411196579197
73,-1.7143943115348288,Male,Dress,Clothing,-1.4257179367470527,Georgia,M,Olive,Winter,-1.1868620911794894,Yes,Debit Card,Store Pickup,Yes,Yes,-0.3012430782625333,Bank Transfer,Every 3 Months,1,5,1,9,1,13,3,1,3,5,1,1,0,2,0,0,1,1,1,3,,1,-2.0403632399117986
74,0.25855791927334837,Male,Pants,Clothing,1.0655883051974708,Hawaii,M,Teal,Spring,-1.4661406090749887,Yes,Debit Card,Free Shipping,Yes,Yes,1.2217464989530324,Bank Transfer,Bi-Weekly,1,13,1,10,1,20,1,1,3,2,1,1,0,1,1,1,1,1,1,3,Young Adult,0,0.47961741166222827
75,0.32432299363362094,Male,Gloves,Accessories,-0.07450099196358233,Indiana,L,Violet,Spring,1.0473660519845074,Yes,PayPal,Express,Yes,Yes,-1.5473254596207235,Cash,Monthly,1,6,0,13,0,22,1,1,4,1,1,1,1,4,0,0,1,1,1,3,Young Adult,0,0.13611826501768945
76,1.3107991090377096,Male,Scarf,Accessories,1.0655883051974708,Utah,M,Blue,Summer,-1.4661406090749887,Yes,Debit Card,Free Shipping,Yes,Yes,-0.3012430782625333,Credit Card,Annually,1,15,0,43,1,2,2,1,3,2,1,1,2,0,1,0,1,1,1,3,Young Adult,0,1.5249771015475222
77,0.3900880679938935,Male,Hat,Accessories,-0.7078839348308341,Delaware,S,Teal,Summer,0.6284482751412582,Yes,Bank Transfer,Free Shipping,Yes,Yes,0.46025171034524953,Venmo,Monthly,1,8,0,7,2,20,2,1,0,2,1,1,5,4,0,1,1,1,1,3,Young Adult,0,-0.48476843397325525
78,-1.4513340140937385,Male,Dress,Clothing,-0.2856286395859996,Delaware,L,Gold,Summer,-0.6283050553884905,Yes,Debit Card,Next Day Air,Yes,Yes,0.7371589062026251,Debit Card,Fortnightly,1,5,1,7,0,6,2,1,3,3,1,1,3,3,0,1,1,1,1,3,,1,-0.16442286227595312
79,0.3900880679938935,Male,Skirt,Clothing,1.3189414823443715,Nebraska,M,Maroon,Spring,1.3266445698800071,Yes,Venmo,Free Shipping,Yes,Yes,1.7063340917034397,Venmo,Fortnightly,1,19,1,26,1,12,1,1,5,2,1,1,5,3,1,1,1,1,1,3,Young Adult,0,0.4873535334708784
80,-0.39909282432937737,Male,Jacket,Outerwear,1.5300691299667888,Iowa,M,Olive,Winter,-1.6057798680227386,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1.2217464989530324,Bank Transfer,Every 3 Months,1,10,3,14,1,13,3,1,0,0,1,1,0,2,1,1,1,1,1,3,,1,0.688678537667467
81,-1.6486292371745563,Male,Sandals,Footwear,0.516656421379186,New York,XL,Blue,Summer,-0.6283050553884905,Yes,Credit Card,Store Pickup,Yes,Yes,-0.09356268136950165,Credit Card,Every 3 Months,1,14,2,31,3,2,2,1,2,5,1,1,2,2,1,0,1,1,1,3,,1,0.5699858233548708
82,1.5080943321185272,Male,Shoes,Footwear,1.5300691299667888,Virginia,L,Maroon,Summer,-1.6057798680227386,Yes,PayPal,Express,Yes,Yes,0.7371589062026251,Credit Card,Every 3 Months,1,17,2,45,0,12,2,1,4,1,1,1,2,2,1,1,1,1,1,3,Young Adult,0,0.8807882367603732
83,-1.6486292371745563,Male,Pants,Clothing,-1.3412668776980858,Georgia,S,Olive,Spring,0.3491697572457584,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,-0.3012430782625333,Credit Card,Every 3 Months,1,13,1,9,2,13,1,1,0,0,1,1,2,2,0,0,1,1,1,3,,1,-1.919504245286059
